OSM_ID,AGS_5
6245600,5112
6245501,5120
6245500,5120
6245400,7332
6245300,7319
6245200,5358
6245100,7335
6245000,16054
6244900,5316
6244800,9572
6244700,16073
6244500,16076
6244400,3405
6244300,7141
6244200,5566
6244000,5974
6243704,5970
6243703,5970
6243702,5970
6243701,5970
6243700,5970
6243400,14729
6243200,16074
6243100,9576
6243000,12052
6242900,15085
6242804,9162
6242803,9162
6242802,9162
6242801,9162
6242800,9162
6242700,14521
6242600,3251
6242500,15091
6242400,16064
6242300,5158
6242204,11000
6242203,11000
6242202,11000
6242201,11000
6242200,11000
6242000,5978
6241900,16070
6241800,3103
6241703,5774
6241702,5774
6241701,5774
6241700,5774
6241600,3154
6241500,9780
6241400,3401
6241300,12063
6241200,8119
6241100,9362
6241000,5116
6240900,3403
6240800,1056
6240700,9761
6240600,9672
6240502,13003
6240501,13003
6240500,13003
6240400,9676
6240300,9562
6240200,5958
6240100,6633
6240004,6412
6240003,6412
6240002,6412
6240001,6412
6240000,6412
6239900,3356
6239800,9778
6239700,3462
6239600,5916
6239400,8126
6239300,8215
6239100,7313
6239000,9577
6238900,9779
6238803,8216
6238802,8216
6238801,8216
6238800,8216
6238700,10042
6238500,5117
6238400,14625
6238300,9476
6238200,6436
6238102,9161
6238101,9161
6238100,9161
6237900,5754
6237800,9472
6237700,9771
6237600,12061
6237400,9563
6237300,5374
6237100,9186
6237000,16056
6236900,12054
6236800,6532
6236700,7336
6236500,16069
6236400,12072
6236200,7143
6236100,7235
6236000,7340
6235900,15083
6235800,5770
6235700,7132
6235600,9177
6235500,3452
6235400,8237
6235300,12069
6235200,7318
6235000,14522
6234900,9762
6234800,7138
6234700,7314
6234600,10046
6234500,14626
6234400,8325
6234300,5378
6234000,8211
6233900,16075
5874500,5170
2702800,1051
2702703,1003
2702702,1003
2702701,1003
2702700,1003
2702600,1057
2702500,1055
2702100,1002
2702000,1001
2701900,1054
2701700,1058
2701600,1061
2701400,1059
